0.000000, 0.000000
-11.486026, -3.441049
-11.532178, -2.871251
-11.691859, -2.585738
-11.570393, -2.299479
-11.725618, -2.013030
-11.600407, -1.726079
-11.751150, -1.438911
-11.622006, -1.151428
-11.768276, -0.863764
-11.635029, -0.575928
-11.776870, -0.287991
-11.639381, 0.000000
-11.776870, 0.287991
-11.635029, 0.575928
-11.768276, 0.863764
-11.622006, 1.151428
-11.751150, 1.438911
-11.600407, 1.726079
-11.725618, 2.013030
-11.570393, 2.299479
-11.691859, 2.585738
-11.532178, 2.871251
-11.486026, 3.441049
-10.912131, -4.852112
-11.088003, -4.571935
-10.978738, -4.289348
-11.150364, -4.007465
-11.038084, -3.723749
-11.089778, -3.155572
-11.133462, -2.585118
-11.168818, -2.012733
-11.195582, -1.438801
-11.213543, -0.863740
-11.222560, -0.287990
-11.222560, 0.287990
-11.213543, 0.863740
-11.195582, 1.438801
-11.168818, 2.012733
-11.133462, 2.585118
-11.089778, 3.155572
-11.038084, 3.723749
-11.150364, 4.007465
-10.978738, 4.289348
-11.088003, 4.571935
-10.912131, 4.852112
-10.369495, -5.685628
-10.552871, -5.409041
-10.448537, -5.128672
-10.520838, -4.568411
-10.585941, -4.005028
-10.643408, -3.438760
-10.692825, -2.869894
-10.733818, -2.298770
-10.766062, -1.725775
-10.789292, -1.151337
-10.803311, -0.575917
-10.807997, 0.000000
-10.803311, 0.575917
-10.789292, 1.151337
-10.766062, 1.725775
-10.733818, 2.298770
-10.692825, 2.869894
-10.643408, 3.438760
-10.585941, 4.005028
-10.520838, 4.568411
-10.448537, 5.128672
-10.552871, 5.409041
-10.369495, 5.685628
-9.708204, -7.053423
-9.804604, -6.506930
-9.995336, -6.234650
-9.895405, -5.956725
-9.980116, -5.402859
-10.058240, -4.845431
-10.129277, -4.284593
-10.192736, -3.720555
-10.248147, -3.153582
-10.295073, -2.584002
-10.333124, -2.012198
-10.361970, -1.438604
-10.381350, -0.863697
-10.391086, -0.287989
-10.391086, 0.287989
-10.381350, 0.863697
-10.361970, 1.438604
-10.333124, 2.012198
-10.295073, 2.584002
-10.248147, 3.153582
-10.192736, 3.720555
-10.129277, 4.284593
-10.058240, 4.845431
-9.980116, 5.402859
-9.895405, 5.956725
-9.995336, 6.234650
-9.804604, 6.506930
-9.708204, 7.053423
-9.218247, -7.313981
-9.416015, -7.046663
-9.319876, -6.771286
-9.514151, -6.501394
-9.416163, -6.224715
-9.606689, -5.952304
-9.506595, -5.674280
-9.590642, -5.120037
-9.667762, -4.562102
-9.737413, -4.000648
-9.799067, -3.435912
-9.852220, -2.868200
-9.896410, -2.297883
-9.931234, -1.725394
-9.956359, -1.151222
-9.971536, -0.575902
-9.976613, 0.000000
-9.971536, 0.575902
-9.956359, 1.151222
-9.931234, 1.725394
-9.896410, 2.297883
-9.852220, 2.868200
-9.799067, 3.435912
-9.737413, 4.000648
-9.667762, 4.562102
-9.590642, 5.120037
-9.506595, 5.674280
-9.606689, 5.952304
-9.416163, 6.224715
-9.514151, 6.501394
-9.319876, 6.771286
-9.416015, 7.046663
-9.218247, 7.313981
-8.611704, -8.105020
-8.816031, -7.843213
-8.723030, -7.570360
-8.924259, -7.305833
-8.829810, -7.031760
-9.027675, -6.764517
-8.931548, -6.489149
-9.125771, -6.219221
-9.027711, -5.942494
-9.218014, -5.669941
-9.117741, -5.391808
-9.201060, -4.837158
-9.277076, -4.278676
-9.345201, -3.716559
-9.404865, -3.151083
-9.455528, -2.582595
-9.496704, -2.011521
-9.527977, -1.438353
-9.549017, -0.863642
-9.559595, -0.287987
-9.559595, 0.287987
-9.549017, 0.863642
-9.527977, 1.438353
-9.496704, 2.011521
-9.455528, 2.582595
-9.404865, 3.151083
-9.345201, 3.716559
-9.277076, 4.278676
-9.201060, 4.837158
-9.117741, 5.391808
-9.218014, 5.669941
-9.027711, 5.942494
-9.125771, 6.219221
-8.931548, 6.489149
-9.027675, 6.764517
-8.829810, 7.031760
-8.924259, 7.305833
-8.723030, 7.570360
-8.816031, 7.843213
-8.611704, 8.105020
-7.986667, -8.878668
-8.196949, -8.622785
-8.314046, -8.093642
-8.427131, -7.560599
-8.334260, -7.287860
-8.535731, -7.023538
-8.441364, -6.749532
-8.639333, -6.482370
-8.543219, -6.207012
-8.737386, -5.937044
-8.639247, -5.660265
-8.829305, -5.387557
-8.728837, -5.109306
-8.811353, -4.554214
-8.886150, -3.995139
-8.952588, -3.432311
-9.010048, -2.866048
-9.057954, -2.296751
-9.095796, -1.724906
-9.123148, -1.151075
-9.139691, -0.575884
-9.145228, 0.000000
-9.139691, 0.575884
-9.123148, 1.151075
-9.095796, 1.724906
-9.057954, 2.296751
-9.010048, 2.866048
-8.952588, 3.432311
-8.886150, 3.995139
-8.811353, 4.554214
-8.728837, 5.109306
-8.829305, 5.387557
-8.639247, 5.660265
-8.737386, 5.937044
-8.543219, 6.207012
-8.639333, 6.482370
-8.441364, 6.749532
-8.535731, 7.023538
-8.334260, 7.287860
